,Chinese name,Foreign name,Other name,who,When/Where/What,Score,About
0,肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台),导演:弗兰克·德拉邦特FrankDarabont\主演:蒂姆·罗宾斯TimRobbins/...,1994/美国/犯罪剧情,9.7,希望让人自由。
1,霸王别姬, ,再见，我的妾  /  Farewell My Concubine,导演:陈凯歌KaigeChen\主演:张国荣LeslieCheung/张丰毅FengyiZha...,1993/中国大陆中国香港/剧情爱情同性,9.6,风华绝代。
2,阿甘正传,Forrest Gump,福雷斯特·冈普,导演:罗伯特·泽米吉斯RobertZemeckis\主演:汤姆·汉克斯TomHanks/...,1994/美国/剧情爱情,9.5,一部美国近现代史。
3,泰坦尼克号,Titanic,铁达尼号(港 / 台),导演:詹姆斯·卡梅隆JamesCameron\主演:莱昂纳多·迪卡普里奥Leonardo...,1997/美国墨西哥/剧情爱情灾难,9.5,失去的才是永恒的。 
4,这个杀手不太冷,Léon,终极追杀令(台)  /  杀手莱昂,导演:吕克·贝松LucBesson\主演:让·雷诺JeanReno/娜塔莉·波特曼...,1994/法国美国/剧情动作犯罪,9.4,怪蜀黍和小萝莉不得不说的故事。
5,千与千寻,千と千尋の神隠し,神隐少女(台)  /  千与千寻的神隐,导演:宫崎骏HayaoMiyazaki\主演:柊瑠美RumiHîragi/入野自由Miy...,2001/日本/剧情动画奇幻,9.4,最好的宫崎骏，最好的久石让。 
6,美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful,导演:罗伯托·贝尼尼RobertoBenigni\主演:罗伯托·贝尼尼RobertoBeni...,1997/意大利/剧情喜剧爱情战争,9.5,最美的谎言。
7,星际穿越,Interstellar,星际启示录(港)  /  星际效应(台),导演:克里斯托弗·诺兰ChristopherNolan\主演:马修·麦康纳MatthewMc...,2014/美国英国加拿大/剧情科幻冒险,9.4,爱是一种力量，让我们超越时空感知它的存在。
8,盗梦空间,Inception,潜行凶间(港)  /  全面启动(台),导演:克里斯托弗·诺兰ChristopherNolan\主演:莱昂纳多·迪卡普里奥Le...,2010/美国英国/剧情科幻悬疑冒险,9.4,诺兰给了我们一场无法盗取的梦。
9,辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单,导演:史蒂文·斯皮尔伯格StevenSpielberg\主演:连姆·尼森LiamNeeson...,1993/美国/剧情历史战争,9.5,拯救一个人，就是拯救整个世界。
10,楚门的世界,The Truman Show,真人Show(港)  /  真人戏,导演:彼得·威尔PeterWeir\主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,1998/美国/剧情科幻,9.4,如果再也不能见到你，祝你早安，午安，晚安。
11,忠犬八公的故事,Hachi: A Dog's Tale,秋田犬八千(港)  /  忠犬小八(台),导演:莱塞·霍尔斯道姆LasseHallström\主演:理查·基尔RichardGer...,2009/美国英国/剧情,9.4,永远都不能忘记你所爱的人。
12,海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇,导演:朱塞佩·托纳多雷GiuseppeTornatore\主演:蒂姆·罗斯TimRoth/...,1998/意大利/剧情音乐,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
13,三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港),导演:拉库马·希拉尼RajkumarHirani\主演:阿米尔·汗AamirKhan/卡...,2009/印度/剧情喜剧爱情歌舞,9.2,英俊版憨豆，高情商版谢耳朵。
14,放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩,导演:克里斯托夫·巴拉蒂ChristopheBarratier\主演:让-巴蒂斯特·莫尼...,2004/法国瑞士德国/剧情音乐,9.3,天籁一般的童声，是最接近上帝的存在。 
15,机器人总动员,WALL·E,太空奇兵·威E(港)  /  瓦力(台),导演:安德鲁·斯坦顿AndrewStanton\主演:本·贝尔特BenBurtt/艾丽...,2008/美国/科幻动画冒险,9.3,小瓦力，大人生。
16,疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台),导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore\主演:金妮弗·...,2016/美国/喜剧动画冒险,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
17,无间道,無間道,Infernal Affairs  /  Mou gaan dou,导演:刘伟强/麦兆辉\主演:刘德华AndyLau/梁朝伟TonyLeungChiuW...,2002/中国香港/剧情犯罪惊悚,9.3,香港电影史上永不过时的杰作。
18,控方证人,Witness for the Prosecution,雄才伟略  /  情妇,导演:比利·怀尔德BillyWilder\主演:泰隆·鲍华TyronePower/玛琳·...,1957/美国/剧情犯罪悬疑,9.6,比利·怀德满分作品。
19,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记,导演:刘镇伟JeffreyLau\主演:周星驰StephenChow/吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.2,一生所爱。
20,熔炉,도가니,无声呐喊(港)  /  漩涡,导演:黄东赫Dong-hyukHwang\主演:孔侑YooGong/郑有美Yu-miJung/...,2011/韩国/剧情,9.4,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,教父,The Godfather,Mario Puzo's The Godfather,导演:弗朗西斯·福特·科波拉FrancisFordCoppola\主演:马龙·白兰度M...,1972/美国/剧情犯罪,9.3,千万不要记恨你的对手，这样会让你失去理智。
22,触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台),导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano\主...,2011/法国/剧情喜剧,9.3,满满温情的高雅喜剧。
23,当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐,导演:加布里尔·穆奇诺GabrieleMuccino\主演:威尔·史密斯WillSmith...,2006/美国/剧情传记家庭,9.2,平民励志片。 
24,寻梦环游记,Coco,玩转极乐园(港)  /  可可夜总会(台),导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina\主演:...,2017/美国/喜剧动画奇幻音乐,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。
25,末代皇帝,The Last Emperor,末代皇帝溥仪(港)  /  L'ultimo imperatore,导演:贝纳尔多·贝托鲁奇BernardoBertolucci\主演:尊龙JohnLone/陈...,1987/英国意大利中国大陆法国/剧情传记历史,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
26,龙猫,となりのトトロ,邻居托托罗  /  邻家的豆豆龙,导演:宫崎骏HayaoMiyazaki\主演:日高法子NorikoHidaka/坂本千夏Ch...,1988/日本/动画奇幻冒险,9.2,人人心中都有个龙猫，童年就永远不会消失。
27,怦然心动,Flipped,萌动青春  /  青春萌动,导演:罗伯·莱纳RobReiner\主演:玛德琳·卡罗尔MadelineCarroll/卡...,2010/美国/剧情喜剧爱情,9.1,真正的幸福是来自内心深处。
28,活着, ,人生  /  Lifetimes,导演:张艺谋YimouZhang\主演:葛优YouGe/巩俐LiGong/姜武WuJiang,1994/中国大陆中国香港/剧情历史家庭,9.3,张艺谋最好的电影。
29,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,哈利波特1：神秘的魔法石(港 / 台) ,导演:ChrisColumbus\主演:DanielRadcliffe/EmmaWatson/RupertGrint,2001/美国英国/奇幻冒险,9.2,童话世界的开端。
30,蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),导演:克里斯托弗·诺兰ChristopherNolan\主演:克里斯蒂安·贝尔Christ...,2008/美国英国/剧情动作科幻犯罪惊悚,9.2,无尽的黑暗。
31,指环王3：王者无敌,The Lord of the Rings: The Return of the King,魔戒三部曲：王者再临(台 / 港) ,导演:彼得·杰克逊PeterJackson\主演:伊利亚·伍德ElijahWood/西恩...,2003/美国新西兰/剧情动作奇幻冒险,9.3,史诗的终章。
32,我不是药神, ,中国药神  /  印度药神,导演:文牧野MuyeWen\主演:徐峥ZhengXu/王传君ChuanjunWang/周...,2018/中国大陆/剧情喜剧,9.0,对我们国家而言，这样的电影多一部是一部。
33,乱世佳人,Gone with the Wind,飘,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor\主演:费...,1939/美国/剧情历史爱情战争,9.3,Tomorrow is another day.
34,飞屋环游记,Up,冲天救兵(港)  /  天外奇迹(台),导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson\主演:爱德...,2009/美国/剧情喜剧动画冒险,9.1,最后那些最无聊的事情，才是最值得怀念的。 
35,素媛,소원,许愿  /  希望：为爱重生(台),导演:李濬益Jun-ikLee\主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,2013/韩国/剧情,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
36,哈尔的移动城堡,ハウルの動く城,哈尔移动城堡(港)  /  霍尔的移动城堡(台),导演:宫崎骏HayaoMiyazaki\主演:倍赏千惠子ChiekoBaishô/木村拓...,2004/日本/动画奇幻冒险,9.1,带着心爱的人在天空飞翔。
37,十二怒汉,12 Angry Men,12怒汉  /  十二怒汉,导演:SidneyLumet\主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957/美国/剧情,9.4,1957年的理想主义。 
38,何以为家,كفرناحوم,迦百农  /  星仔打官司(港),导演:娜丁·拉巴基NadineLabaki\主演:扎因·拉费阿Zainal-Rafeea/...,2018/黎巴嫩美国法国塞浦路斯卡塔尔英国/剧情,9.1,凝视卑弱生命，用电影改变命运。
39,让子弹飞, ,让子弹飞一会儿  /  火烧云,导演:姜文WenJiang\主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,2010/中国大陆中国香港/剧情喜剧动作西部,9.0,你给我翻译翻译，神马叫做TMD的惊喜。
40,摔跤吧！爸爸,Dangal,我和我的冠军女儿(台)  /  打死不离3父女(港),导演:涅提·蒂瓦里NiteshTiwari\主演:阿米尔·汗AamirKhan/法缇玛...,2016/印度/剧情传记运动家庭,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,猫鼠游戏,Catch Me If You Can,逍遥法外  /  捉智双雄(港),导演:史蒂文·斯皮尔伯格StevenSpielberg\主演:莱昂纳多·迪卡普里奥L...,2002/美国加拿大/传记犯罪剧情,9.1,骗子大师和执著警探的你追我跑故事。 
42,天空之城,天空の城ラピュタ,天空之城拉普他  /  空中城堡拉普他,导演:宫崎骏HayaoMiyazaki\主演:田中真弓MayumiTanaka/横泽启子Ke...,1986/日本/动画奇幻冒险,9.2,对天空的追逐，永不停止。 
43,鬼子来了, ,Devils on the Doorstep,导演:姜文WenJiang\主演:姜文WenJiang/香川照之TeruyukiKagawa/...,2000/中国大陆/剧情喜剧,9.3,对敌人的仁慈，就是对自己残忍。
44,少年派的奇幻漂流,Life of Pi,少年Pi的奇幻漂流  /  漂流少年Pi,导演:李安AngLee\主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,2012/美国中国台湾英国加拿大/剧情奇幻冒险,9.1,瑰丽壮观、无人能及的冒险之旅。
45,海蒂和爷爷,Heidi,飘零燕(港)  /  海蒂,导演:阿兰·葛斯彭纳AlainGsponer\主演:阿努克·斯特芬AnukSteffen/...,2015/德国瑞士/剧情冒险家庭,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
46,钢琴家,The Pianist,钢琴战曲(港)  /  战地琴人(台),导演:罗曼·波兰斯基RomanPolanski\主演:艾德里安·布洛迪AdrienBrod...,2002/英国法国波兰德国/剧情传记战争音乐,9.3,音乐能化解仇恨。
47,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,西游记101回月光宝盒  /  齐天大圣东游记,导演:刘镇伟JeffreyLau\主演:周星驰StephenChow/吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.0,旷古烁今。
48,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,魔戒二部曲：双城奇谋  /  指环王II：双塔,导演:彼得·杰克逊PeterJackson\主演:伊利亚·伍德ElijahWood/西恩...,2002/美国新西兰/剧情动作奇幻冒险,9.2,承前启后的史诗篇章。
49,闻香识女人,Scent of a Woman,女人香  /  女人的芳香,导演:马丁·布莱斯MartinBrest\主演:阿尔·帕西诺AlPacino/克里斯...,1992/美国/剧情,9.1,史上最美的探戈。
50,死亡诗社,Dead Poets Society,暴雨骄阳(港)  /  春风化雨(台),导演:彼得·威尔PeterWeir\主演:罗宾·威廉姆斯RobinWilliams/罗伯...,1989/美国/剧情,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,绿皮书,Green Book,绿簿旅友(港)  /  幸福绿皮书(台),导演:彼得·法雷里PeterFarrelly\主演:维果·莫腾森ViggoMortensen/...,2018/美国中国大陆/剧情喜剧传记音乐,8.9,去除成见，需要勇气。
52,罗马假日,Roman Holiday,金枝玉叶(港)  /  罗马假期(台),导演:威廉·惠勒WilliamWyler\主演:奥黛丽·赫本AudreyHepburn/格...,1953/美国/喜剧剧情爱情,9.1,爱情哪怕只有一天。
53,大闹天宫, ,大闹天宫 上下集  /  The Monkey King,导演:万籁鸣LaimingWan\主演:邱岳峰YuefengQiu/富润生RunshengFu...,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/中国大陆/剧情动画奇幻古装,9.4,经典之作，历久弥新。
54,天堂电影院,Nuovo Cinema Paradiso,星光伴我心(港)  /  新天堂乐园(台),导演:朱塞佩·托纳多雷GiuseppeTornatore\主演:菲利普·努瓦雷Philipp...,1988/意大利法国/剧情爱情,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
55,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,指环王1：魔戒再现  /  指环王I：护戒使者,导演:彼得·杰克逊PeterJackson\主演:伊利亚·伍德ElijahWood/西恩...,2001/新西兰美国/剧情动作奇幻冒险,9.1,传说的开始。
56,黑客帝国,The Matrix,22世纪杀人网络(港)  /  廿二世纪杀人网络(港),导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski\主...,1999/美国/动作科幻,9.1,视觉革命。
57,教父2,The Godfather: Part II,教父续集(港)  /  教父II,导演:弗朗西斯·福特·科波拉FrancisFordCoppola\主演:阿尔·帕西诺A...,1974/美国/剧情犯罪,9.3,优雅的孤独。
58,狮子王,The Lion King,狮子王3D,导演:RogerAllers/罗伯·明可夫RobMinkoff\主演:乔纳森·泰勒·托马...,1994/美国/动画冒险歌舞,9.1,动物版《哈姆雷特》。
59,辩护人,변호인,逆权大状(港)  /  正义辩护人(台),导演:杨宇硕Woo-seokYang\主演:宋康昊Kang-hoSong/金英爱Yeong-ae...,2013/韩国/剧情,9.2,电影的现实意义大过电影本身。
60,饮食男女,飲食男女,Eat Drink Man Woman,导演:李安AngLee\主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,1994/中国台湾美国/剧情家庭,9.2,人生不能像做菜，把所有的料都准备好了才下锅。
61,搏击俱乐部,Fight Club,搏击会(港)  /  斗阵俱乐部(台),导演:大卫·芬奇DavidFincher\主演:爱德华·诺顿EdwardNorton/布拉...,1999/美国/剧情动作悬疑惊悚,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,本杰明·巴顿奇事,The Curious Case of Benjamin Button,奇幻逆缘(港)  /  班杰明的奇幻旅程(台),导演:大卫·芬奇DavidFincher\主演:凯特·布兰切特CateBlanchett/...,2008/美国/剧情爱情奇幻,9.0,在时间之河里感受溺水之苦。
63,美丽心灵,A Beautiful Mind,有你终生美丽(港)  /  美丽境界(台),导演:朗·霍华德RonHoward\主演:罗素·克劳RussellCrowe/艾德·哈...,2001/美国/传记剧情,9.1,爱是一切逻辑和原由。
64,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,穿条纹衣服的男孩  /  穿条纹衣的男孩,导演:马克·赫尔曼MarkHerman\主演:阿萨·巴特菲尔德AsaButterfield...,2008/英国美国/剧情战争,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
65,窃听风暴,Das Leben der Anderen,窃听者(港)  /  他人的生活,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...,2006/德国/剧情悬疑,9.2,别样人生。
66,情书,Love Letter,When I Close My Eyes  /  Letters of Love,导演:岩井俊二ShunjiIwai\主演:中山美穗MihoNakayama/丰川悦司Ets...,1995/日本/剧情爱情,8.9,暗恋的极致。
67,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",够姜四小强(港)  /  两根枪管(台),导演:盖·里奇GuyRitchie\主演:杰森·弗莱明JasonFlemyng/德克斯特...,1998/英国/剧情喜剧犯罪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
68,西西里的美丽传说,Malèna,真爱伴我行(台)  /  玛莲娜,导演:朱塞佩·托纳多雷GiuseppeTornatore\主演:莫妮卡·贝鲁奇Monica...,2000/意大利美国/剧情战争情色,8.9,美丽无罪。
69,看不见的客人,Contratiempo,死无对证(港)  /  布局(台),导演:奥里奥尔·保罗OriolPaulo\主演:马里奥·卡萨斯MarioCasas/阿...,2016/西班牙/剧情犯罪悬疑惊悚,8.8,你以为你以为的就是你以为的。
70,音乐之声,The Sound of Music,仙乐飘飘处处闻(港)  /  真善美(台),导演:罗伯特·怀斯RobertWise\主演:朱莉·安德鲁斯JulieAndrews/克...,1965/美国/剧情传记爱情歌舞,9.1,用音乐化解仇恨，让歌声串起美好。
71,阿凡达,Avatar,,导演:詹姆斯·卡梅隆JamesCameron\主演:萨姆·沃辛顿SamWorthington...,2009/美国/动作科幻冒险,8.8,绝对意义上的美轮美奂。
72,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台) ,导演:大卫·叶茨DavidYates\主演:丹尼尔·雷德克里夫DanielRadcliffe...,2011/美国英国/奇幻冒险,9.0,10年的完美句点。
73,拯救大兵瑞恩,Saving Private Ryan,雷霆救兵(港)  /  抢救雷恩大兵(台),导演:史蒂文·斯皮尔伯格StevenSpielberg\主演:汤姆·汉克斯TomHanks...,1998/美国/剧情战争,9.1,美利坚精神输出大片No1.
74,飞越疯人院,One Flew Over the Cuckoo's Nest,飞越杜鹃窝(台)  /  飞越喜鹊巢,导演:米洛斯·福尔曼MilošForman\主演:杰克·尼科尔森JackNichols...,1975/美国/剧情,9.1,自由万岁。
75,小鞋子,بچه های آسمان,天堂的孩子  /  小童鞋,导演:马基德·马基迪MajidMajidi\主演:默罕默德·阿米尔·纳吉Mohamma...,1997/伊朗/剧情儿童家庭,9.2,奔跑的孩子是天使。
76,沉默的羔羊,The Silence of the Lambs,沉默的羔羊,导演:乔纳森·戴米JonathanDemme\主演:朱迪·福斯特JodieFoster/安...,1991/美国/剧情犯罪惊悚,8.9,安东尼·霍普金斯的顶级表演。
77,布达佩斯大饭店,The Grand Budapest Hotel,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),导演:韦斯·安德森WesAnderson\主演:拉尔夫·费因斯RalphFiennes/...,2014/美国德国英国/剧情喜剧冒险,8.9,小清新的故事里注入了大历史的情怀。
78,功夫, ,功夫3D  /  Kung Fu Hustle,导演:周星驰StephenChow\主演:周星驰StephenChow/元秋QiuYuen/...,2004/中国大陆中国香港/动作喜剧犯罪奇幻,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
79,禁闭岛,Shutter Island,不赦岛(港)  /  隔离岛(台),导演:MartinScorsese\主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,2010/美国/剧情悬疑惊悚,8.9,昔日翩翩少年，今日大腹便便。
80,蝴蝶效应,The Butterfly Effect,蝴蝶效应,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber\主...,2004/美国加拿大/剧情悬疑科幻惊悚,8.9,人的命运被自己瞬间的抉择改变。
81,致命魔术,The Prestige,死亡魔法(港)  /  顶尖对决(台),导演:克里斯托弗·诺兰ChristopherNolan\主演:休·杰克曼HughJackman...,2006/英国美国/剧情悬疑惊悚,8.9,孪生蝙蝠侠大战克隆金刚狼。
